YEAR,DATANUM,SERIAL,HHWT,STATEFIP,COUNTY,GQ,PERNUM,PERWT,AGE,SEX,EDUC,EDUCD,DEGFIELD,DEGFIELDD,OCC,INCTOT
2010,1,681809,3429.1,27,0,1,2,3796.5,44,2,8,81,0,0,0,0
2010,1,681809,3429.1,27,0,1,3,4898.71,21,2,7,71,0,0,630,25000
2010,1,681809,3429.1,27,0,1,4,5633.51,19,2,7,71,0,0,6260,15000
2010,1,681809,3429.1,27,0,1,5,7470.53,17,1,5,50,0,0,6260,12000
2010,1,681809,3429.1,27,0,1,6,6123.38,15,2,4,40,0,0,0,0
2010,1,681809,3429.1,27,0,1,7,4408.84,13,1,2,25,0,0,0,NA
2010,1,681932,11511.96,27,0,1,1,11389.49,51,2,7,71,0,0,1550,33000
2010,1,682054,5878.45,27,0,1,1,6000.92,72,2,6,63,0,0,4230,17900
2010,1,682176,9919.88,27,1370,1,1,9919.88,55,2,7,71,0,0,9140,5230
2010,1,682176,9919.88,27,1370,1,2,9674.95,59,1,7,71,0,0,9140,26930
2010,1,682299,4163.9,27,0,1,1,4041.43,73,1,6,63,0,0,0,12300
2010,1,682299,4163.9,27,0,1,2,3306.63,65,2,10,101,23,2309,3255,68000
2010,1,682421,14206.25,27,0,1,1,14206.25,31,1,4,40,0,0,9600,28000
2010,1,682421,14206.25,27,0,1,2,14328.72,29,2,6,64,0,0,8140,10000
2010,1,682421,14206.25,27,0,1,3,8327.8,12,1,2,22,0,0,0,NA
2010,1,682421,14206.25,27,0,1,4,6368.32,11,2,2,22,0,0,0,NA
2010,1,682421,14206.25,27,0,1,5,8327.8,6,1,1,12,0,0,0,NA
2010,1,682421,14206.25,27,0,1,6,8572.74,1,1,0,1,0,0,0,NA
2010,1,682544,4286.37,27,0,1,1,4286.37,75,1,6,63,0,0,0,21600
2010,1,682544,4286.37,27,0,1,2,4898.71,73,2,6,65,0,0,330,46000
2010,1,682666,2326.89,27,0,1,1,2326.89,50,1,6,63,0,0,530,63000
2010,1,682666,2326.89,27,0,1,2,2449.35,48,2,10,101,62,6201,800,45770
2010,1,682666,2326.89,27,0,1,3,2694.29,23,1,10,101,62,6203,2850,5000
2010,1,683034,8817.67,27,0,1,1,8817.67,66,2,6,63,0,0,5820,11800
2010,1,683156,3918.97,27,0,1,1,3918.97,46,1,7,71,0,0,8500,17180
2010,1,683156,3918.97,27,0,1,2,4041.43,40,2,7,71,0,0,230,24000
2010,1,683156,3918.97,27,0,1,3,3061.69,13,2,2,23,0,0,0,NA
2010,1,683156,3918.97,27,0,1,4,3306.63,11,1,1,17,0,0,0,NA
2010,1,683279,4286.37,27,0,1,1,4286.37,50,1,11,114,37,3700,4850,178000
2010,1,683279,4286.37,27,0,1,2,4286.37,61,2,7,71,0,0,0,0
2010,1,683401,4653.77,27,0,1,1,4531.3,60,1,6,63,0,0,8140,39600
2010,1,683401,4653.77,27,0,1,2,4898.71,56,2,8,81,0,0,5700,19300
2010,1,683646,15920.8,27,370,1,1,15920.8,39,1,7,71,0,0,6230,3800
2010,1,683769,7960.4,27,1630,1,1,7960.4,57,1,6,63,0,0,8030,67500
2010,1,683769,7960.4,27,1630,1,2,9307.54,53,2,6,65,0,0,2850,7000
2010,1,683891,14696.12,27,1230,1,1,14696.12,53,2,11,114,52,5200,0,59500
2010,1,683891,14696.12,27,1230,1,2,11634.43,16,1,4,40,0,0,0,0
2010,1,683891,14696.12,27,1230,1,3,11634.43,15,1,2,26,0,0,0,0
2010,1,683891,14696.12,27,1230,1,4,18247.68,12,1,2,22,0,0,0,NA
2010,1,683891,14696.12,27,1230,1,5,15553.4,21,2,10,101,19,1901,4760,17500
2010,1,684013,9797.41,27,0,1,1,9797.41,77,1,6,63,0,0,0,7200
2010,1,684136,13471.44,27,1630,1,1,13471.44,55,1,8,81,0,0,800,57000
2010,1,684258,14696.12,27,530,1,1,14696.12,29,2,8,81,0,0,5700,37000
2010,1,684258,14696.12,27,530,1,2,21799.25,33,1,8,81,0,0,5400,22000
2010,1,684381,59029.42,27,30,1,1,59029.42,43,1,11,114,13,1302,310,92000
2010,1,684381,59029.42,27,30,1,2,68459.43,33,1,8,81,0,0,4020,3500
2010,1,684503,8205.33,27,1370,1,1,8082.87,39,1,8,81,0,0,7010,50000
2010,1,684503,8205.33,27,1370,1,2,7837.93,35,2,7,71,0,0,540,28400
2010,1,684503,8205.33,27,1370,1,3,7593,8,2,1,15,0,0,0,NA
2010,1,684626,2449.35,27,0,1,1,2449.35,53,1,7,71,0,0,9130,50000
2010,1,684748,4041.43,27,0,1,1,3918.97,56,1,6,63,0,0,9620,24610
2010,1,684748,4041.43,27,0,1,2,4898.71,63,2,6,63,0,0,50,14720
2010,1,684871,22901.46,27,530,1,1,22901.46,48,1,7,71,0,0,4710,57000
2010,1,684871,22901.46,27,530,1,2,17267.94,49,2,6,63,0,0,4510,39000
2010,1,684871,22901.46,27,530,1,3,14818.59,21,1,6,63,0,0,4620,8000
2010,1,684871,22901.46,27,530,1,4,19349.89,18,1,6,61,0,0,4720,1800
2010,1,684993,15798.33,27,0,1,1,15798.33,60,1,11,114,23,2301,6440,15000
2010,1,684993,15798.33,27,0,1,2,19962.23,57,2,3,30,0,0,5120,0
2010,1,684993,15798.33,27,0,1,3,4041.43,20,2,7,71,0,0,5620,6000
2010,1,684993,15798.33,27,0,1,4,2326.89,66,1,6,65,0,0,9130,28050
2010,1,684993,15798.33,27,0,1,5,1347.14,54,2,6,64,0,0,4230,34000
2010,1,685116,18125.22,27,1230,1,1,18247.68,54,1,6,63,0,0,4220,43060
2010,1,685238,12124.3,27,1230,1,1,12001.83,59,2,6,63,0,0,2145,95000
2010,1,685238,12124.3,27,1230,1,2,14083.78,61,1,10,101,60,6000,9130,16800
2010,1,685238,12124.3,27,1230,1,3,16533.14,27,1,10,101,40,4001,2860,45000
2010,1,685361,4653.77,27,0,1,1,4531.3,48,1,7,71,0,0,430,60000
2010,1,685361,4653.77,27,0,1,2,5143.64,44,2,10,101,33,3301,4220,2000
2010,1,685361,4653.77,27,0,1,3,5633.51,12,2,2,25,0,0,0,NA
2010,1,685361,4653.77,27,0,1,4,6490.79,11,1,2,22,0,0,0,NA
2010,1,685483,8817.67,27,0,1,1,8695.21,47,1,6,63,0,0,7420,68000
2010,1,685606,4286.37,27,0,1,1,4286.37,40,1,6,65,0,0,7750,29100
2010,1,685728,4041.43,27,0,1,1,4041.43,24,1,8,81,0,0,4850,29000
2010,1,685728,4041.43,27,0,1,2,1592.08,27,2,7,71,0,0,2300,15200
2010,1,685850,3184.16,27,0,1,1,3184.16,43,2,7,71,0,0,5700,23400
2010,1,685850,3184.16,27,0,1,2,2939.22,47,1,8,81,0,0,7900,35000
2010,1,685973,7348.06,27,0,1,1,7348.06,57,2,6,63,0,0,4120,19300
2010,1,685973,7348.06,27,0,1,2,7470.53,49,1,6,63,0,0,7810,38200
2010,1,685973,7348.06,27,0,1,3,6613.25,17,2,4,40,0,0,4720,3400
2010,1,686095,2939.22,27,0,1,1,2939.22,35,1,7,71,0,0,430,39000
2010,1,686095,2939.22,27,0,1,2,3551.56,29,2,7,71,0,0,4810,32000
2010,1,686095,2939.22,27,0,1,3,3429.1,5,1,1,11,0,0,0,NA
2010,1,686218,13593.91,27,530,1,1,13593.91,62,1,11,116,37,3700,2200,61380
2010,1,686218,13593.91,27,530,1,2,11267.03,52,2,11,114,52,5200,3245,36100
2010,1,686218,13593.91,27,530,1,3,12859.11,25,1,8,81,0,0,3930,7800
2010,1,686340,62458.52,27,370,1,1,62458.52,45,1,10,101,36,3600,1530,134000
2010,1,686340,62458.52,27,370,1,2,57069.94,45,2,10,101,62,6203,2330,45000
2010,1,686340,62458.52,27,370,1,3,52783.57,16,2,3,30,0,0,0,0
2010,1,686340,62458.52,27,370,1,4,73848.01,12,2,2,23,0,0,0,NA
2010,1,686463,21186.91,27,530,1,1,21064.44,83,1,10,101,60,6001,0,51900
2010,1,686585,3796.5,27,0,1,1,3674.03,44,2,6,65,0,0,2540,15500
2010,1,686585,3796.5,27,0,1,2,3918.97,46,1,7,71,0,0,4965,80300
2010,1,686585,3796.5,27,0,1,3,3551.56,15,1,3,30,0,0,0,200
2010,1,686585,3796.5,27,0,1,4,3306.63,11,1,2,22,0,0,0,NA
2010,1,686708,2326.89,27,0,1,1,2449.35,80,1,8,81,0,0,9130,30000
2010,1,686830,23758.73,27,530,1,1,23636.26,53,2,8,81,0,0,430,12000
2010,1,686953,2326.89,27,0,1,1,2326.89,25,1,11,114,24,2414,140,105930
2010,1,686953,2326.89,27,0,1,2,2694.29,32,2,8,81,0,0,5400,12000
2010,1,686953,2326.89,27,0,1,3,3184.16,10,1,1,16,0,0,0,NA
2010,1,686953,2326.89,27,0,1,4,2204.42,0,2,0,1,0,0,0,NA
2010,1,687075,17390.41,27,0,1,1,17267.94,33,1,6,61,0,0,6440,40000
2010,1,687075,17390.41,27,0,1,2,13104.04,29,2,7,71,0,0,5400,0
2010,1,687075,17390.41,27,0,1,3,13104.04,5,2,1,11,0,0,0,NA
2010,1,687075,17390.41,27,0,1,4,10532.22,3,2,0,2,0,0,0,NA
2010,1,687075,17390.41,27,0,1,5,13104.04,1,1,0,1,0,0,0,NA
2010,1,687198,2816.76,27,0,1,1,2816.76,68,2,8,81,0,0,4610,17600
2010,1,687198,2816.76,27,0,1,2,3306.63,56,1,6,63,0,0,0,40
2010,1,687320,11511.96,27,0,1,1,11511.96,78,1,6,65,0,0,0,46900
2010,1,687320,11511.96,27,0,1,2,16900.54,75,2,7,71,0,0,0,13700
2010,1,687443,16288.2,27,530,1,1,16288.2,70,2,10,101,26,2602,3646,25820
2010,1,687443,16288.2,27,530,1,2,14941.06,67,1,11,116,13,1302,1010,16700
2010,1,687565,13226.51,27,1090,1,1,13104.04,58,2,6,65,0,0,0,8180
2010,1,687687,4163.9,27,0,1,1,4163.9,72,1,5,50,0,0,0,44700
2010,1,687687,4163.9,27,0,1,2,4776.24,68,2,6,63,0,0,8320,0
2010,1,687810,5511.05,27,0,1,1,5633.51,46,1,7,71,0,0,430,46100
2010,1,687810,5511.05,27,0,1,2,4531.3,42,2,11,114,23,2300,230,45000
2010,1,687810,5511.05,27,0,1,3,7225.59,17,1,5,50,0,0,9620,1500
2010,1,687810,5511.05,27,0,1,4,5266.11,15,2,2,25,0,0,0,1100
2010,1,687932,15308.46,27,0,1,1,15308.46,44,2,8,81,0,0,4400,76000
2010,1,687932,15308.46,27,0,1,2,14941.06,22,1,8,81,0,0,9130,0
2010,1,688055,3306.63,27,0,1,1,3306.63,82,2,6,63,0,0,0,95200
2010,1,688177,3796.5,27,0,1,1,3796.5,68,2,6,63,0,0,0,28500
2010,1,688300,9062.61,27,0,1,1,9062.61,72,1,7,71,0,0,0,24500
2010,1,688300,9062.61,27,0,1,2,11022.09,69,2,4,40,0,0,8950,20800
2010,1,688422,2449.35,27,0,1,1,2449.35,60,2,10,101,61,6107,3255,46200
2010,1,688422,2449.35,27,0,1,2,2694.29,60,1,11,114,11,1103,4850,6150
2010,1,688545,13961.32,27,0,1,1,13961.32,38,1,8,81,0,0,4220,40000
2010,1,688545,13961.32,27,0,1,2,15185.99,35,2,10,101,50,5098,740,90000
2010,1,688545,13961.32,27,0,1,3,12369.24,11,2,2,22,0,0,0,NA
2010,1,688545,13961.32,27,0,1,4,12369.24,8,2,1,15,0,0,0,NA
2010,1,688545,13961.32,27,0,1,5,16778.07,4,1,1,11,0,0,0,NA
2010,1,688667,14083.78,27,530,1,1,13961.32,63,1,10,101,23,2312,4430,45600
2010,1,688667,14083.78,27,530,1,2,12859.11,57,2,10,101,62,6203,5940,59000
2010,1,688667,14083.78,27,530,1,3,12981.57,14,2,2,26,0,0,0,NA
2010,1,688790,6490.79,27,0,1,1,6490.79,65,2,7,71,0,0,4430,12800
2010,1,688790,6490.79,27,0,1,2,8817.67,63,1,7,71,0,0,5560,23600
2010,1,688912,5511.05,27,0,1,1,5633.51,63,2,11,114,37,3700,2200,73000
2010,1,689035,15063.52,27,0,1,1,15063.52,46,1,6,65,0,0,4850,40200
2010,1,689035,15063.52,27,0,1,2,12369.24,40,2,6,65,0,0,4920,1
2010,1,689035,15063.52,27,0,1,3,11389.49,4,1,1,11,0,0,0,NA
2010,1,689035,15063.52,27,0,1,4,11511.96,2,1,0,1,0,0,0,NA
2010,1,689157,10777.16,27,0,1,1,10777.16,45,1,6,63,0,0,6200,50000
2010,1,689157,10777.16,27,0,1,2,11022.09,48,2,8,81,0,0,4230,8000
2010,1,689280,3796.5,27,0,1,1,3918.97,46,1,6,63,0,0,4850,70000
2010,1,689280,3796.5,27,0,1,2,3551.56,44,2,6,63,0,0,4820,50000
2010,1,689280,3796.5,27,0,1,3,2694.29,16,2,4,40,0,0,0,0
2010,1,689402,14328.72,27,30,1,1,14328.72,34,1,6,64,0,0,9610,42000
2010,1,689402,14328.72,27,30,1,2,19472.36,31,2,6,63,0,0,4600,18000
2010,1,689402,14328.72,27,30,1,3,18125.22,12,1,2,23,0,0,0,NA
2010,1,689402,14328.72,27,30,1,4,14451.19,5,2,1,12,0,0,0,NA
2010,1,689525,10899.62,27,1230,4,1,10899.62,18,2,6,65,0,0,2200,1700
2010,1,689647,13104.04,27,0,1,1,13104.04,73,1,6,63,0,0,4250,31000
2010,1,689769,59886.7,27,530,1,1,59886.7,30,2,11,115,26,2602,2100,45000
2010,1,689769,59886.7,27,530,1,2,93442.84,27,1,7,71,0,0,7210,40000
2010,1,689769,59886.7,27,530,1,3,65765.14,4,1,0,2,0,0,0,NA
2010,1,689769,59886.7,27,530,1,4,66132.55,1,1,0,1,0,0,0,NA
2010,1,689892,10899.62,27,0,3,1,10899.62,22,2,4,40,0,0,0,0
2010,1,690014,3429.1,27,0,1,1,3306.63,32,2,8,81,0,0,3255,22000
2010,1,690014,3429.1,27,0,1,2,2939.22,35,1,8,81,0,0,2040,33000
2010,1,690014,3429.1,27,0,1,3,3184.16,9,1,1,16,0,0,0,NA
2010,1,690014,3429.1,27,0,1,4,3061.69,8,2,1,15,0,0,0,NA
2010,1,690014,3429.1,27,0,1,5,4531.3,3,1,0,2,0,0,0,NA
2010,1,690137,9919.88,27,0,4,1,9919.88,19,1,6,65,0,0,6260,10000
2010,1,690259,13348.98,27,1230,4,1,13348.98,17,2,6,65,0,0,4720,1000
2010,1,690382,17512.88,27,530,1,1,17390.41,61,1,7,71,0,0,4250,64490
2010,1,690382,17512.88,27,530,1,2,17267.94,61,2,7,71,0,0,4830,36200
2010,1,690504,23023.92,27,30,1,1,23023.92,42,2,6,63,0,0,850,38000
2010,1,690627,2449.35,27,0,1,1,2449.35,64,1,6,63,0,0,7610,17170
2010,1,690627,2449.35,27,0,1,2,2326.89,57,2,2,25,0,0,4220,0
2010,1,690749,3306.63,27,0,1,1,3306.63,48,1,3,30,0,0,7210,46000
2010,1,690749,3306.63,27,0,1,2,3796.5,45,2,6,63,0,0,5000,40000
2010,1,690872,12369.24,27,30,1,1,12369.24,61,2,11,114,23,2304,2310,70000
2010,1,690872,12369.24,27,30,1,2,14696.12,63,1,7,71,0,0,9130,56000
2010,1,690994,2816.76,27,0,1,1,2939.22,47,1,8,81,0,0,7000,100340
2010,1,690994,2816.76,27,0,1,2,2326.89,43,2,7,71,0,0,5100,26000
2010,1,691117,15675.86,27,1630,1,1,15553.4,52,1,8,81,0,0,3720,99200
2010,1,691117,15675.86,27,1630,1,2,14083.78,50,2,6,63,0,0,4500,8000
2010,1,691117,15675.86,27,1630,1,3,18247.68,21,1,7,71,0,0,4760,800
2010,1,691117,15675.86,27,1630,1,4,21431.84,19,2,7,71,0,0,4600,500
2010,1,691239,2326.89,27,0,1,1,2326.89,52,1,6,64,0,0,7700,70000
2010,1,691239,2326.89,27,0,1,2,2939.22,61,2,6,63,0,0,4110,14000
2010,1,691362,2694.29,27,0,1,1,2694.29,81,1,2,26,0,0,205,15300
2010,1,691362,2694.29,27,0,1,2,2571.82,57,2,6,63,0,0,0,30210
2010,1,691484,8082.87,27,0,1,1,7960.4,63,2,8,81,0,0,3255,70100
2010,1,691484,8082.87,27,0,1,2,9185.08,67,1,6,63,0,0,6320,25200
2010,1,691606,8327.8,27,0,1,1,8450.27,68,2,6,63,0,0,0,11900
2010,1,691606,8327.8,27,0,1,2,6858.19,79,1,7,71,0,0,0,24000
2010,1,691729,3918.97,27,0,1,1,3918.97,35,2,11,114,62,6203,136,118000
2010,1,691729,3918.97,27,0,1,2,4041.43,37,1,8,81,0,0,6220,33000
2010,1,691729,3918.97,27,0,1,3,5511.05,4,2,1,11,0,0,0,NA
2010,1,691729,3918.97,27,0,1,4,5511.05,0,2,0,1,0,0,0,NA
2010,1,691851,12859.11,27,530,1,1,12859.11,87,1,1,17,0,0,0,30800
2010,1,691974,15185.99,27,370,1,1,15185.99,33,1,7,71,0,0,110,46000
2010,1,691974,15185.99,27,370,1,2,12736.64,32,2,8,81,0,0,4600,19800
2010,1,691974,15185.99,27,370,1,3,15798.33,6,2,1,12,0,0,0,NA
2010,1,691974,15185.99,27,370,1,4,15798.33,12,2,2,22,0,0,0,NA
2010,1,692096,17635.35,27,0,3,1,17635.35,72,2,7,71,0,0,0,23600
2010,1,692341,2204.42,27,0,1,1,2204.42,76,1,6,64,0,0,0,9300
2010,1,692341,2204.42,27,0,1,2,1592.08,71,2,6,63,0,0,0,5900
2010,1,692464,9919.88,27,30,3,1,9919.88,44,1,5,50,0,0,0,0
2010,1,692586,4163.9,27,0,1,1,4286.37,72,1,7,71,0,0,3600,37000
2010,1,692586,4163.9,27,0,1,2,4286.37,71,2,6,63,0,0,0,4000
2010,1,692709,23146.39,27,0,1,1,23146.39,35,1,10,101,60,6004,1540,41000
2010,1,692709,23146.39,27,0,1,2,26330.55,31,2,8,81,0,0,4510,28000
2010,1,692709,23146.39,27,0,1,3,18982.49,6,2,1,12,0,0,0,NA
2010,1,692709,23146.39,27,0,1,4,18615.09,6,2,1,11,0,0,0,NA
2010,1,692831,7837.93,27,0,1,1,7960.4,87,1,6,63,0,0,0,25420
2010,1,692831,7837.93,27,0,1,2,10409.75,82,2,6,63,0,0,0,17200
2010,1,692954,4653.77,27,0,1,1,4653.77,69,1,6,63,0,0,0,77000
2010,1,692954,4653.77,27,0,1,2,5511.05,62,2,6,63,0,0,5700,0
2010,1,693076,10654.69,27,530,3,1,10654.69,81,1,4,40,0,0,0,27000
2010,1,693199,4041.43,27,0,1,1,4163.9,94,1,6,63,0,0,0,88000
2010,1,693443,3918.97,27,0,1,1,3918.97,40,1,6,65,0,0,7410,80000
2010,1,693443,3918.97,27,0,1,2,4531.3,40,2,10,101,23,2304,2310,34000
2010,1,693443,3918.97,27,0,1,3,2816.76,16,1,3,30,0,0,0,0
2010,1,693443,3918.97,27,0,1,4,3918.97,14,1,2,23,0,0,0,NA
2010,1,693443,3918.97,27,0,1,5,3674.03,14,1,2,23,0,0,0,NA
2010,1,693566,18737.56,27,0,1,1,18615.09,88,2,2,26,0,0,0,44400
2010,1,693688,92218.16,27,1090,1,1,92218.16,49,2,5,50,0,0,4610,8000
2010,1,693688,92218.16,27,1090,1,2,71766.06,15,1,2,26,0,0,0,5000
2010,1,693688,92218.16,27,1090,1,3,71766.06,15,1,2,25,0,0,0,19000
2010,1,693688,92218.16,27,1090,1,4,71766.06,13,1,2,25,0,0,0,NA
2010,1,693811,13471.44,27,530,1,1,13471.44,75,2,7,71,0,0,0,8800
2010,1,693811,13471.44,27,530,1,2,13471.44,78,1,6,65,0,0,0,39900
2010,1,693933,6858.19,27,0,1,1,6858.19,55,1,8,81,0,0,6230,14000
2010,1,694056,9919.88,27,0,1,1,9919.88,67,2,7,71,0,0,5940,30900
2010,1,694056,9919.88,27,0,1,2,8082.87,68,1,2,26,0,0,0,15400
2010,1,694056,9919.88,27,0,1,3,2939.22,34,2,6,63,0,0,0,14400
2010,1,694178,13716.38,27,1630,1,1,13716.38,49,1,10,101,62,6200,4850,100200
2010,1,694178,13716.38,27,1630,1,2,17145.48,47,2,8,81,0,0,0,0
2010,1,694178,13716.38,27,1630,1,3,12859.11,12,2,2,22,0,0,0,NA
2010,1,694178,13716.38,27,1630,1,4,13226.51,10,2,1,16,0,0,0,NA
2010,1,694301,4776.24,27,0,1,1,4776.24,77,1,2,26,0,0,0,26700
2010,1,694301,4776.24,27,0,1,2,3674.03,76,2,7,71,0,0,0,4000
2010,1,694423,19104.96,27,1370,1,1,19227.43,58,1,10,101,61,6108,3050,120000
2010,1,694423,19104.96,27,1370,1,2,19717.3,48,2,8,81,0,0,4700,39000
2010,1,694423,19104.96,27,1370,1,3,12491.7,18,2,5,50,0,0,4760,1000
2010,1,694546,16165.73,27,530,1,1,16165.73,42,1,11,114,24,2401,1360,120000
2010,1,694546,16165.73,27,530,1,2,18125.22,42,2,10,101,19,1902,5600,9000
2010,1,694546,16165.73,27,530,1,3,15430.93,15,2,3,30,0,0,0,0
2010,1,694546,16165.73,27,530,1,4,14451.19,12,2,2,23,0,0,0,NA
2010,1,694791,2694.29,27,0,1,1,2571.82,66,1,8,81,0,0,4700,18300
2010,1,694791,2694.29,27,0,1,2,2939.22,58,2,8,81,0,0,4760,4200
2010,1,694913,13348.98,27,1370,1,1,13348.98,53,1,10,101,62,6206,0,154000
2010,1,694913,13348.98,27,1370,1,2,14696.12,48,2,6,63,0,0,5120,115000
2010,1,694913,13348.98,27,1370,1,3,12124.3,20,2,6,65,0,0,4720,4000
2010,1,695036,25350.81,27,1630,1,1,25350.81,94,2,10,101,23,2304,0,48000
2010,1,695036,25350.81,27,1630,1,2,29759.65,53,2,8,81,0,0,4030,8400
2010,1,695158,4776.24,27,0,1,1,4776.24,36,1,7,71,0,0,7340,27000
2010,1,695158,4776.24,27,0,1,2,3918.97,35,2,6,65,0,0,4610,0
2010,1,695158,4776.24,27,0,1,3,6613.25,16,1,3,30,0,0,6740,1900
2010,1,695158,4776.24,27,0,1,4,5878.45,14,2,2,26,0,0,0,NA
2010,1,695280,7593,27,0,1,1,7470.53,32,2,6,63,0,0,5160,19000
2010,1,695280,7593,27,0,1,2,6123.38,35,1,7,71,0,0,0,8600
2010,1,695280,7593,27,0,1,3,5878.45,4,2,1,11,0,0,0,NA
